age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
27,average,NA,not at all,never,college/university,white,74,29442.0,education / academia,"hayward, california",0.0,straight,NA,NA,m,NA,no,english,single
28,athletic,anything,rarely,never,post-graduate,asian,67,1e5,law / legal services,"san francisco, california",NA,straight,likes dogs and likes cats,agnosticism and laughing about it,f,taurus and it&rsquo;s fun to think about,no,english,single
37,fit,anything,not at all,never,college/university,white,79,45845.0,entertainment / media,"san francisco, california",0.0,straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
28,thin,vegetarian,rarely,never,post-graduate,indian,61,18976.0,science / tech / engineering,"berkeley, california",0.0,straight,likes dogs,agnosticism but not too serious about it,f,NA,no,"english, hindi (okay), spanish (poorly)",single
29,average,anything,socially,sometimes,post-graduate,hispanic / latin,70,55788.0,artistic / musical / writer,"berkeley, california",0.0,straight,likes dogs and dislikes cats,NA,m,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), french (poorly), czech (poorly)",single
23,a little extra,NA,often,sometimes,college/university,white,62,18578.0,artistic / musical / writer,"oakland, california",NA,straight,likes dogs and likes cats,NA,f,sagittarius and it&rsquo;s fun to think about,yes,english,single
35,average,other,rarely,never,college/university,asian,67,29400.0,entertainment / media,"san francisco, california",0.0,straight,likes dogs,christianity but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,english,single
30,average,anything,socially,never,two-year college,asian,69,54630.0,medicine / health,"san mateo, california",0.0,straight,likes dogs and likes cats,christianity and somewhat serious about it,m,aries and it matters a lot,no,english,single
32,fit,NA,often,sometimes,college/university,white,61,92200.0,artistic / musical / writer,"san francisco, california",NA,straight,has dogs,other and very serious about it,f,virgo and it&rsquo;s fun to think about,no,english,seeing someone
28,athletic,anything,socially,sometimes,college/university,white,73,28128.0,student,"oakland, california",0.0,straight,has dogs,NA,m,leo and it&rsquo;s fun to think about,no,"english (fluently), german (okay)",single
39,thin,anything,socially,never,two-year college,white,72,49470.0,entertainment / media,"san francisco, california",2.0,straight,NA,other and laughing about it,m,libra,trying to quit,"english (fluently), spanish (okay)",single
50,average,anything,socially,never,college/university,white,64,66997.0,education / academia,"berkeley, california",2.0,straight,has dogs and has cats,NA,f,leo and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",single
39,fit,vegetarian,rarely,never,post-graduate,white,69,76064.0,science / tech / engineering,"berkeley, california",0.0,straight,likes dogs and likes cats,other and somewhat serious about it,m,cancer but it doesn&rsquo;t matter,no,"english (okay), c++ (poorly)",single
47,average,anything,rarely,never,two-year college,white,69,49625.0,construction / craftsmanship,"san francisco, california",0.0,straight,has dogs and likes cats,christianity but not too serious about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
28,athletic,anything,socially,never,post-graduate,white,73,74240.0,medicine / health,"san francisco, california",0.0,straight,NA,NA,m,leo,no,"english, spanish",single
42,average,other,socially,sometimes,college/university,black,75,18888.0,artistic / musical / writer,"san francisco, california",NA,straight,likes dogs and likes cats,other,m,libra and it&rsquo;s fun to think about,trying to quit,english (fluently),single
45,athletic,NA,socially,never,post-graduate,white,68,75968.0,entertainment / media,"san francisco, california",2.0,gay,NA,judaism but not too serious about it,m,aries and it&rsquo;s fun to think about,NA,english,single
45,athletic,NA,rarely,never,college/university,white,66,92950.0,construction / craftsmanship,"san francisco, california",1.0,straight,NA,other and laughing about it,m,virgo and it&rsquo;s fun to think about,no,english (fluently),single
34,athletic,NA,socially,never,college/university,white,65,1e5,sales / marketing / biz dev,"san francisco, california",0.0,straight,has dogs,catholicism but not too serious about it,f,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
34,curvy,anything,rarely,never,college/university,white,68,39268.0,artistic / musical / writer,"hayward, california",0.0,straight,likes dogs and has cats,atheism,f,cancer but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), french (poorly)",single
34,average,anything,rarely,never,dropped out of college/university,white,73,64225.0,computer / hardware / software,"san francisco, california",0.0,straight,NA,NA,m,cancer,no,"english (fluently), russian (okay), c++ (okay)",single
48,fit,anything,rarely,never,post-graduate,asian,69,69643.0,education / academia,"san mateo, california",0.0,straight,NA,NA,m,NA,no,english (fluently),single
31,athletic,anything,socially,never,college/university,hispanic / latin,74,39136.0,education / academia,"berkeley, california",NA,straight,likes cats,NA,m,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
45,athletic,NA,socially,NA,college/university,white,70,90400.0,executive / management,"san francisco, california",1.0,straight,NA,atheism,m,NA,no,english,single
37,fit,vegetarian,not at all,never,dropped out of two-year college,white,76,19028.0,medicine / health,"berkeley, california",NA,straight,likes dogs and likes cats,other,m,cancer and it&rsquo;s fun to think about,no,english,single
29,athletic,anything,socially,NA,college/university,other,71,27195.0,education / academia,"san francisco, california",0.0,straight,likes dogs,other,m,cancer,sometimes,english,single
47,fit,anything,socially,never,high school,white,76,54996.0,construction / craftsmanship,"san mateo, california",2.0,straight,likes dogs and has cats,catholicism and laughing about it,m,virgo but it doesn&rsquo;t matter,no,english,single
52,fit,NA,socially,never,college/university,white,62,67529.0,rather not say,"san francisco, california",NA,straight,likes dogs and likes cats,other and somewhat serious about it,f,aquarius but it doesn&rsquo;t matter,no,"english, english, french",single
31,fit,vegan,rarely,never,post-graduate,native american,64,27681.0,political / government,"berkeley, california",NA,straight,likes dogs and likes cats,other and somewhat serious about it,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), arabic (okay), french (poorly), thai (poorly)",single
44,average,anything,socially,never,college/university,white,72,93220.0,construction / craftsmanship,"san francisco, california",2.0,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,trying to quit,"english (fluently), german (okay)",single
33,athletic,anything,socially,sometimes,college/university,asian,70,94630.0,science / tech / engineering,"oakland, california",NA,straight,likes dogs and likes cats,christianity but not too serious about it,m,taurus but it doesn&rsquo;t matter,trying to quit,"english (fluently), korean (poorly), spanish (okay)",single
35,fit,anything,often,NA,post-graduate,white,73,96520.0,computer / hardware / software,"berkeley, california",0.0,straight,likes dogs and has cats,agnosticism,m,leo,no,english (fluently),single
25,average,anything,socially,never,college/university,asian,70,1e5,banking / financial / real estate,"san francisco, california",0.0,straight,NA,buddhism and somewhat serious about it,m,aries but it doesn&rsquo;t matter,no,"english, chinese, japanese",single
24,average,NA,socially,never,college/university,white,72,19418.0,unemployed,"san francisco, california",NA,straight,likes dogs and likes cats,NA,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
59,fit,anything,socially,never,college/university,asian,64,58710.0,education / academia,"san rafael, california",1.0,straight,dislikes dogs and dislikes cats,other but not too serious about it,m,scorpio but it doesn&rsquo;t matter,no,"english, chinese, tagalog",single
27,average,NA,socially,never,college/university,asian,70,27015.0,sales / marketing / biz dev,"san francisco, california",NA,straight,NA,NA,m,aries,no,english,single
30,athletic,anything,socially,never,post-graduate,white,75,90360.0,military,"san francisco, california",0.0,straight,likes dogs and likes cats,agnosticism,m,leo and it&rsquo;s fun to think about,no,"english (fluently), portuguese (poorly)",available
32,average,anything,often,NA,college/university,hispanic / latin,76,59796.0,banking / financial / real estate,"san francisco, california",0.0,straight,has dogs,NA,m,taurus and it&rsquo;s fun to think about,no,"english, spanish (fluently)",single
31,average,anything,socially,NA,two-year college,white,69,49650.0,executive / management,"san francisco, california",NA,straight,likes dogs and likes cats,other but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,"english (fluently), french (poorly), spanish (poorly)",single
26,curvy,anything,socially,never,two-year college,hispanic / latin,64,19694.0,student,"san francisco, california",NA,straight,likes dogs and has cats,christianity,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
37,fit,anything,socially,sometimes,college/university,black,75,48370.0,transportation,"san francisco, california",NA,straight,likes dogs and likes cats,christianity and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), italian (fluently), german (poorly), japanese (poorly), russian (poorly)",single
50,fit,anything,often,NA,two-year college,white,68,94260.0,science / tech / engineering,"san francisco, california",0.0,straight,NA,atheism and laughing about it,m,gemini but it doesn&rsquo;t matter,no,english (poorly),single
23,average,anything,socially,sometimes,college/university,asian,71,19946.0,artistic / musical / writer,"san francisco, california",0.0,straight,has dogs and likes cats,NA,m,sagittarius,yes,"english (fluently), korean (okay), french (poorly)",single
28,athletic,anything,rarely,never,college/university,white,69,91450.0,medicine / health,"san francisco, california",0.0,straight,NA,NA,m,scorpio,no,"english (fluently), portuguese (poorly)",single
23,fit,anything,socially,never,college/university,white,67,27843.0,artistic / musical / writer,"san francisco, california",0.0,straight,likes dogs and likes cats,other,m,libra and it&rsquo;s fun to think about,no,"english (fluently), chinese (okay)",single
35,average,vegetarian,not at all,sometimes,post-graduate,white,73,29040.0,student,"san francisco, california",NA,straight,NA,hinduism,m,virgo,no,english,single
30,fit,anything,rarely,sometimes,college/university,white,66,36664.0,sales / marketing / biz dev,"san francisco, california",0.0,straight,likes dogs and likes cats,atheism,f,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
38,curvy,anything,socially,sometimes,post-graduate,indian,67,73416.0,science / tech / engineering,"san francisco, california",NA,straight,likes dogs and likes cats,other but not too serious about it,f,aquarius and it&rsquo;s fun to think about,no,"english, spanish (poorly), french (poorly)",single
35,fit,NA,rarely,sometimes,post-graduate,black,74,98030.0,executive / management,"san mateo, california",NA,straight,likes dogs and likes cats,atheism and laughing about it,m,cancer but it doesn&rsquo;t matter,no,english,single
41,average,NA,socially,sometimes,college/university,white,73,95620.0,entertainment / media,"san francisco, california",1.0,straight,has dogs,agnosticism and laughing about it,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), french (poorly)",single
31,thin,anything,socially,never,college/university,hispanic / latin,74,18956.0,construction / craftsmanship,"berkeley, california",0.0,straight,likes dogs and has cats,agnosticism and somewhat serious about it,m,aries but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (okay)",available
34,athletic,NA,socially,never,college/university,white,71,99660.0,sales / marketing / biz dev,"san francisco, california",NA,straight,likes dogs and dislikes cats,catholicism but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,english,single
41,athletic,NA,socially,never,two-year college,white,71,68439.0,science / tech / engineering,"oakland, california",0.0,straight,has dogs and likes cats,agnosticism but not too serious about it,m,gemini and it&rsquo;s fun to think about,sometimes,"english (fluently), german (poorly)",single
30,athletic,anything,socially,never,college/university,white,70,93070.0,banking / financial / real estate,"san francisco, california",NA,straight,likes dogs and likes cats,catholicism but not too serious about it,m,pisces and it&rsquo;s fun to think about,no,"english, spanish (poorly), russian (okay)",single
28,average,anything,NA,never,college/university,hispanic / latin,69,46890.0,construction / craftsmanship,"san francisco, california",0.0,straight,likes dogs and likes cats,buddhism but not too serious about it,m,cancer and it&rsquo;s fun to think about,NA,"english (fluently), spanish (fluently), french (okay)",single
22,fit,vegetarian,socially,sometimes,college/university,white,67,46485.0,entertainment / media,"san francisco, california",NA,straight,likes dogs and has cats,other,m,scorpio,NA,"english (fluently), japanese (okay)",single
33,thin,anything,socially,never,post-graduate,white,64,58848.0,education / academia,"san francisco, california",NA,straight,has dogs,catholicism,f,capricorn but it doesn&rsquo;t matter,no,english,single
24,fit,anything,socially,never,college/university,white,69,48965.0,executive / management,"san francisco, california",NA,straight,NA,christianity but not too serious about it,m,gemini and it&rsquo;s fun to think about,sometimes,"english, chinese (poorly)",available
31,average,anything,socially,never,two-year college,black,69,38140.0,transportation,"oakland, california",2.0,straight,likes dogs and likes cats,other and laughing about it,m,libra and it&rsquo;s fun to think about,trying to quit,english (fluently),single
22,athletic,vegetarian,socially,often,college/university,white,68,54450.0,entertainment / media,"san francisco, california",0.0,straight,likes dogs and has cats,other,m,scorpio,trying to quit,"english, japanese",single
38,curvy,anything,rarely,never,college/university,pacific islander,68,47970.0,banking / financial / real estate,"san leandro, california",2.0,straight,likes dogs and likes cats,christianity and somewhat serious about it,f,gemini and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), hawaiian (fluently)",single
27,average,NA,rarely,never,college/university,white,73,19218.0,student,"san rafael, california",NA,straight,NA,agnosticism but not too serious about it,m,aquarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), sign language (poorly)",seeing someone
25,a little extra,NA,socially,never,post-graduate,white,68,18972.0,education / academia,"oakland, california",NA,gay,NA,catholicism and laughing about it,m,NA,no,english,single
27,average,anything,often,NA,college/university,white,74,39580.0,artistic / musical / writer,"san francisco, california",NA,straight,likes dogs and likes cats,agnosticism and laughing about it,m,aries and it&rsquo;s fun to think about,sometimes,english,single
25,fit,vegetarian,socially,never,two-year college,pacific islander,68,45455.0,medicine / health,"oakland, california",0.0,straight,has dogs and likes cats,catholicism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (okay), tagalog (poorly)",single
33,thin,anything,socially,NA,post-graduate,indian,63,94530.0,executive / management,"san francisco, california",0.0,straight,dislikes cats,NA,f,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay), portuguese (okay)",single
21,athletic,kosher,rarely,never,college/university,black,66,37008.0,artistic / musical / writer,"san francisco, california",0.0,straight,likes dogs and likes cats,christianity and very serious about it,m,aries but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (poorly), portuguese (poorly)",single
21,fit,vegetarian,socially,never,college/university,NA,67,19404.0,education / academia,"oakland, california",0.0,straight,likes dogs and has cats,agnosticism but not too serious about it,f,leo but it doesn&rsquo;t matter,no,"english (fluently), french (fluently), spanish (okay), greek (okay), italian (poorly)",single
32,fit,NA,socially,sometimes,college/university,asian,66,39264.0,education / academia,"san francisco, california",NA,straight,likes dogs and likes cats,NA,m,aries and it&rsquo;s fun to think about,no,"english (fluently), japanese (fluently)",seeing someone
29,a little extra,anything,socially,never,high school,hispanic / latin,72,46665.0,medicine / health,"hayward, california",NA,straight,has dogs,catholicism,m,pisces,no,"english (fluently), spanish (fluently)",single
25,average,anything,socially,NA,college/university,white,65,58464.0,science / tech / engineering,"san francisco, california",NA,bisexual,NA,atheism and laughing about it,f,NA,no,english (fluently),available
23,thin,anything,socially,sometimes,college/university,white,71,1e5,artistic / musical / writer,"san francisco, california",NA,gay,likes dogs and likes cats,agnosticism,m,scorpio and it&rsquo;s fun to think about,sometimes,"english (fluently), french (fluently), spanish (poorly)",single
44,fit,anything,socially,NA,college/university,white,69,1e5,science / tech / engineering,"san francisco, california",0.0,straight,has cats,atheism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english, french (poorly)",single
25,athletic,NA,often,never,college/university,white,70,93620.0,science / tech / engineering,"san francisco, california",NA,straight,NA,NA,m,NA,no,"english, french (okay)",single
30,athletic,NA,socially,NA,post-graduate,other,70,18648.0,student,"berkeley, california",NA,straight,NA,NA,m,virgo but it doesn&rsquo;t matter,no,english,single
39,fit,anything,socially,never,college/university,white,68,1e5,law / legal services,"san francisco, california",NA,straight,likes dogs and dislikes cats,agnosticism but not too serious about it,m,aquarius and it&rsquo;s fun to think about,no,english (fluently),single
24,average,vegetarian,very often,sometimes,college/university,white,68,28161.0,artistic / musical / writer,"san francisco, california",0.0,straight,likes dogs and likes cats,atheism and very serious about it,m,virgo but it doesn&rsquo;t matter,sometimes,"english (fluently), french (poorly), spanish (poorly)",single
36,fit,anything,not at all,never,post-graduate,white,73,1e5,science / tech / engineering,"oakland, california",0.0,straight,likes dogs and likes cats,other and laughing about it,m,scorpio but it doesn&rsquo;t matter,no,english (poorly),single
27,curvy,NA,often,sometimes,college/university,asian,65,19318.0,hospitality / travel,"oakland, california",NA,straight,likes dogs and likes cats,other and laughing about it,f,gemini and it&rsquo;s fun to think about,sometimes,"english (fluently), spanish (poorly)",seeing someone
21,curvy,anything,socially,never,college/university,asian,66,18364.0,sales / marketing / biz dev,"oakland, california",0.0,straight,has dogs,christianity,f,taurus and it&rsquo;s fun to think about,no,english,single
42,athletic,vegetarian,rarely,never,post-graduate,white,67,45065.0,education / academia,"berkeley, california",NA,straight,NA,agnosticism,m,gemini but it doesn&rsquo;t matter,no,english,single
41,athletic,NA,rarely,sometimes,college/university,white,73,75512.0,computer / hardware / software,"san francisco, california",0.0,bisexual,NA,atheism and somewhat serious about it,m,pisces and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)",single
34,curvy,anything,socially,never,post-graduate,white,68,97490.0,computer / hardware / software,"san francisco, california",0.0,bisexual,has cats,atheism and very serious about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently), lisp (okay), spanish (poorly), japanese (poorly)",single
23,average,vegetarian,rarely,sometimes,dropped out of two-year college,white,71,1e5,unemployed,"oakland, california",0.0,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,english,available
31,thin,anything,often,sometimes,college/university,white,71,1e5,artistic / musical / writer,"san francisco, california",NA,gay,likes dogs and likes cats,atheism and laughing about it,m,sagittarius and it&rsquo;s fun to think about,yes,"english (fluently), german (okay), c++ (poorly)",single
28,athletic,anything,socially,sometimes,dropped out of college/university,NA,73,79824.0,artistic / musical / writer,"san francisco, california",NA,straight,NA,NA,m,capricorn and it&rsquo;s fun to think about,sometimes,"english (fluently), hindi (okay), other (fluently), other (okay), other (okay)",single
33,a little extra,NA,socially,never,post-graduate,white,66,1e5,computer / hardware / software,"san francisco, california",0.0,straight,likes dogs and likes cats,NA,m,NA,no,english,single
30,fit,vegetarian,socially,NA,college/university,white,69,19068.0,artistic / musical / writer,"san francisco, california",NA,straight,likes dogs and likes cats,atheism,m,sagittarius,no,english,single
34,athletic,NA,socially,never,post-graduate,white,73,18164.0,student,"berkeley, california",NA,straight,NA,agnosticism,m,cancer but it doesn&rsquo;t matter,no,"english, spanish (poorly)",single
40,average,NA,socially,sometimes,college/university,white,67,1e5,computer / hardware / software,"san francisco, california",NA,straight,likes dogs and likes cats,agnosticism and very serious about it,m,libra but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently)",seeing someone
39,fit,anything,socially,NA,college/university,NA,67,91860.0,entertainment / media,"san francisco, california",NA,straight,NA,catholicism and laughing about it,m,leo but it doesn&rsquo;t matter,no,"english, spanish (okay)",single
31,fit,vegetarian,socially,never,post-graduate,white,66,69699.0,computer / hardware / software,"san mateo, california",0.0,straight,likes dogs and likes cats,christianity but not too serious about it,f,virgo and it&rsquo;s fun to think about,no,"english (fluently), russian (fluently), ukrainian (fluently)",single
47,average,anything,socially,NA,college/university,white,71,1e5,computer / hardware / software,"oakland, california",NA,straight,has cats,NA,m,sagittarius but it doesn&rsquo;t matter,no,english,single
29,average,NA,rarely,NA,college/university,white,70,1e5,artistic / musical / writer,"san francisco, california",NA,straight,has dogs and has cats,buddhism and somewhat serious about it,m,capricorn and it matters a lot,trying to quit,"english (fluently), polish (fluently), spanish (poorly)",single
37,athletic,vegetarian,socially,sometimes,college/university,white,72,97490.0,science / tech / engineering,"san mateo, california",NA,straight,NA,NA,m,aquarius and it&rsquo;s fun to think about,sometimes,"english (fluently), c++ (fluently), lisp (fluently), occitan (fluently), ancient greek (fluently)",single
28,average,anything,socially,never,college/university,white,75,91990.0,computer / hardware / software,"emeryville, california",1.0,straight,NA,NA,m,NA,no,"english (fluently), c++ (fluently)",single
40,athletic,NA,socially,sometimes,post-graduate,white,75,1e5,entertainment / media,"san francisco, california",NA,straight,has dogs,other,m,NA,no,english (fluently),single
35,fit,anything,socially,never,college/university,asian,66,92980.0,computer / hardware / software,"berkeley, california",NA,straight,has cats,christianity,m,NA,no,english,single
28,fit,anything,socially,never,college/university,white,69,90770.0,computer / hardware / software,"san francisco, california",0.0,straight,likes dogs and dislikes cats,agnosticism and laughing about it,m,cancer and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
28,average,halal,rarely,never,dropped out of college/university,black,71,72824.0,entertainment / media,"san francisco, california",1.0,straight,NA,NA,m,sagittarius,no,english,single
43,athletic,anything,socially,NA,post-graduate,white,71,1e5,science / tech / engineering,"san rafael, california",NA,straight,likes dogs and likes cats,NA,m,aquarius,no,english (fluently),single
24,athletic,vegetarian,socially,often,college/university,white,66,19966.0,education / academia,"san francisco, california",NA,straight,likes dogs and has cats,buddhism but not too serious about it,f,pisces and it matters a lot,no,"english (fluently), german (okay)",single
24,fit,vegetarian,socially,NA,college/university,hispanic / latin,64,27564.0,sales / marketing / biz dev,"san francisco, california",NA,gay,has dogs and likes cats,agnosticism and laughing about it,f,aquarius and it&rsquo;s fun to think about,no,english (fluently),single
38,average,anything,socially,sometimes,dropped out of college/university,white,68,98360.0,executive / management,"san francisco, california",NA,straight,has dogs and has cats,atheism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,no,english,single
18,average,anything,socially,sometimes,college/university,hispanic / latin,71,19866.0,student,"alameda, california",0.0,straight,likes dogs and likes cats,agnosticism and laughing about it,m,leo but it doesn&rsquo;t matter,sometimes,"english (okay), sanskrit (fluently), c++ (poorly)",single
28,average,anything,socially,sometimes,college/university,white,73,29907.0,hospitality / travel,"san francisco, california",NA,straight,likes dogs and likes cats,agnosticism and laughing about it,m,taurus but it doesn&rsquo;t matter,sometimes,"english, japanese (poorly)",single
43,fit,vegetarian,not at all,never,post-graduate,white,69,64925.0,political / government,"san francisco, california",NA,straight,dislikes dogs,other and somewhat serious about it,m,NA,no,english,single
25,athletic,anything,socially,never,college/university,other,69,29874.0,sales / marketing / biz dev,"san francisco, california",0.0,straight,likes dogs and likes cats,buddhism but not too serious about it,m,leo but it doesn&rsquo;t matter,no,"english (fluently), thai (fluently), hindi (poorly)",single
30,athletic,anything,socially,never,post-graduate,asian,69,1e5,executive / management,"san francisco, california",0.0,straight,likes dogs,christianity but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), chinese (poorly), spanish (poorly)",single
25,thin,anything,rarely,never,college/university,white,70,76552.0,computer / hardware / software,"san francisco, california",NA,bisexual,likes cats,agnosticism and somewhat serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), c++ (fluently)",available
34,a little extra,anything,socially,never,college/university,white,67,49300.0,education / academia,"san mateo, california",0.0,straight,likes dogs and has cats,other,f,pisces but it doesn&rsquo;t matter,no,english,single
25,athletic,NA,not at all,never,college/university,indian,70,38868.0,science / tech / engineering,"oakland, california",NA,straight,has dogs,hinduism and very serious about it,m,aries but it doesn&rsquo;t matter,no,english (fluently),single
25,fit,anything,socially,never,college/university,white,70,75160.0,computer / hardware / software,"san francisco, california",0.0,straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,NA,no,"english (fluently), spanish (okay), french (poorly), chinese (poorly), latin (okay)",single
36,fit,anything,socially,NA,post-graduate,white,71,47665.0,artistic / musical / writer,"san francisco, california",0.0,straight,NA,agnosticism,m,virgo and it&rsquo;s fun to think about,no,"english, german (poorly), italian (poorly)",single
29,fit,NA,socially,never,college/university,white,71,72392.0,science / tech / engineering,"oakland, california",NA,straight,likes dogs and has cats,NA,m,cancer,no,"english, spanish (okay)",single
29,fit,anything,socially,NA,post-graduate,white,71,28866.0,political / government,"san francisco, california",NA,straight,likes dogs and likes cats,judaism but not too serious about it,m,taurus,no,"english (fluently), hebrew (poorly), spanish (poorly)",single
25,athletic,NA,rarely,never,post-graduate,other,72,1e5,executive / management,"san francisco, california",NA,straight,NA,NA,m,scorpio,no,"english, spanish, italian",single
20,average,NA,socially,never,two-year college,NA,72,38800.0,construction / craftsmanship,"oakland, california",0.0,straight,NA,christianity,m,aries,sometimes,"english (fluently), spanish (fluently)",single
24,fit,anything,socially,never,dropped out of college/university,white,72,93680.0,computer / hardware / software,"san francisco, california",NA,gay,likes dogs and likes cats,buddhism and laughing about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently)",single
33,athletic,NA,socially,never,post-graduate,indian,66,91980.0,executive / management,"san francisco, california",0.0,straight,likes dogs and likes cats,NA,m,NA,no,"english, bengali (fluently), spanish (okay)",single
26,athletic,NA,socially,never,college/university,white,67,1e5,medicine / health,"oakland, california",NA,gay,has dogs and likes cats,NA,f,libra but it doesn&rsquo;t matter,sometimes,"english (fluently), swedish (okay)",single
24,fit,anything,socially,never,post-graduate,indian,70,78120.0,computer / hardware / software,"san francisco, california",NA,straight,NA,atheism,m,cancer but it doesn&rsquo;t matter,no,"english (fluently), hindi (fluently)",single
25,athletic,anything,socially,never,college/university,white,68,1e5,artistic / musical / writer,"san francisco, california",0.0,straight,likes dogs,other and laughing about it,f,sagittarius and it&rsquo;s fun to think about,no,english (fluently),single
42,average,NA,rarely,never,college/university,white,70,69965.0,entertainment / media,"san francisco, california",NA,gay,likes dogs,buddhism and somewhat serious about it,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), german (okay), japanese (poorly)",single
25,a little extra,anything,socially,never,two-year college,hispanic / latin,71,55902.0,computer / hardware / software,"san francisco, california",NA,straight,NA,other and laughing about it,m,capricorn but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (fluently)",single
37,a little extra,anything,not at all,sometimes,college/university,white,72,67662.0,computer / hardware / software,"alameda, california",0.0,straight,likes dogs and has cats,atheism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,no,english,single
