TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu00900	Terpenoid backbone biosynthesis	0.00180561686354095	-6.31685299292717	17	2	0.08	25	6607	110460,110196	Acat2,Fdps
ko00071	Fatty acid degradation	0.0107889462119223	-4.5292331678807	42	2	0.08	25	6607	110460,74205	Acat2,Acsl3
mmu00071	Fatty acid degradation	0.0107889462119223	-4.5292331678807	42	2	0.08	25	6607	110460,74205	Acat2,Acsl3
mmu_M00086	beta-Oxidation, acyl-CoA synthesis	0.0224979433837238	-3.7943313791173	6	1	0.04	25	6607	74205	Acsl3
M00086	beta-Oxidation, acyl-CoA synthesis	0.0224979433837238	-3.7943313791173	6	1	0.04	25	6607	74205	Acsl3
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	0.0262000417648088	-3.64199427413968	7	1	0.04	25	6607	110460	Acat2
mmu_M00095	C5 isoprenoid biosynthesis, mevalonate pathway	0.0262000417648088	-3.64199427413968	7	1	0.04	25	6607	110460	Acat2
mmu04512	ECM-receptor interaction	0.0314436033778761	-3.4595597067329	74	2	0.08	25	6607	16773,12834	Lama2,Col6a2
ko04512	ECM-receptor interaction	0.0314436033778761	-3.4595597067329	74	2	0.08	25	6607	16773,12834	Lama2,Col6a2
mmu04146	Peroxisome	0.0322310858578681	-3.43482389281732	75	2	0.08	25	6607	269951,74205	Idh2,Acsl3
ko04146	Peroxisome	0.0322310858578681	-3.43482389281732	75	2	0.08	25	6607	269951,74205	Idh2,Acsl3
mmu_M00415	Fatty acid biosynthesis, elongation, endoplasmic reticulum	0.0335638989206764	-3.3943042265187	9	1	0.04	25	6607	170439	Elovl6
M00415	Fatty acid biosynthesis, elongation, endoplasmic reticulum	0.0335638989206764	-3.3943042265187	9	1	0.04	25	6607	170439	Elovl6
mmu05414	Dilated cardiomyopathy	0.0371181642089752	-3.29364882786428	81	2	0.08	25	6607	16773,104110	Lama2,Adcy4
ko05414	Dilated cardiomyopathy	0.0371181642089752	-3.29364882786428	81	2	0.08	25	6607	16773,104110	Lama2,Adcy4
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	0.0372257513806518	-3.29075451577624	10	1	0.04	25	6607	269951	Idh2
mmu00072	Synthesis and degradation of ketone bodies	0.0372257513806518	-3.29075451577624	10	1	0.04	25	6607	110460	Acat2
ko00072	Synthesis and degradation of ketone bodies	0.0372257513806518	-3.29075451577624	10	1	0.04	25	6607	110460	Acat2
mmu_M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	0.0372257513806518	-3.29075451577624	10	1	0.04	25	6607	269951	Idh2
mmu05032	Morphine addiction	0.0396630700945935	-3.22733474853368	84	2	0.08	25	6607	238871,104110	Pde4d,Adcy4
ko05032	Morphine addiction	0.0396630700945935	-3.22733474853368	84	2	0.08	25	6607	238871,104110	Pde4d,Adcy4
ko04915	Estrogen signaling pathway	0.0422732784160175	-3.16360010847988	87	2	0.08	25	6607	104110,76854	Adcy4,Gper1
mmu04915	Estrogen signaling pathway	0.0422732784160175	-3.16360010847988	87	2	0.08	25	6607	104110,76854	Adcy4,Gper1
mmu01200	Carbon metabolism	0.0542985283808857	-2.91325815405065	100	2	0.08	25	6607	110460,269951	Acat2,Idh2
ko01200	Carbon metabolism	0.0542985283808857	-2.91325815405065	100	2	0.08	25	6607	110460,269951	Acat2,Idh2
mmu04152	AMPK signaling pathway	0.0684364879632432	-2.68184914683235	114	2	0.08	25	6607	20249,20250	Scd1,Scd2
ko04152	AMPK signaling pathway	0.0684364879632432	-2.68184914683235	114	2	0.08	25	6607	20249,20250	Scd1,Scd2
mmu01210	2-Oxocarboxylic acid metabolism	0.0695884807303313	-2.66515623208763	19	1	0.04	25	6607	269951	Idh2
mmu_M00352	Spliceosome, U2-snRNP	0.0695884807303313	-2.66515623208763	19	1	0.04	25	6607	68479	Phf5a
ko01210	2-Oxocarboxylic acid metabolism	0.0695884807303313	-2.66515623208763	19	1	0.04	25	6607	269951	Idh2
M00352	Spliceosome, U2-snRNP	0.0695884807303313	-2.66515623208763	19	1	0.04	25	6607	68479	Phf5a
ko03040	Spliceosome	0.0716120423020679	-2.63649203058128	117	2	0.08	25	6607	19655,68479	Rbmx,Phf5a
mmu03040	Spliceosome	0.0716120423020679	-2.63649203058128	117	2	0.08	25	6607	19655,68479	Rbmx,Phf5a
mmu00062	Fatty acid elongation	0.0766370275067484	-2.56867493121329	21	1	0.04	25	6607	170439	Elovl6
ko00062	Fatty acid elongation	0.0766370275067484	-2.56867493121329	21	1	0.04	25	6607	170439	Elovl6
M00009	Citrate cycle (TCA cycle, Krebs cycle)	0.0836342967644475	-2.48130159464178	23	1	0.04	25	6607	269951	Idh2
mmu_M00009	Citrate cycle (TCA cycle, Krebs cycle)	0.0836342967644475	-2.48130159464178	23	1	0.04	25	6607	269951	Idh2
mmu00630	Glyoxylate and dicarboxylate metabolism	0.0836342967644475	-2.48130159464178	23	1	0.04	25	6607	110460	Acat2
ko00630	Glyoxylate and dicarboxylate metabolism	0.0836342967644475	-2.48130159464178	23	1	0.04	25	6607	110460	Acat2
ko00592	alpha-Linolenic acid metabolism	0.0871138141669604	-2.44053980647151	24	1	0.04	25	6607	56473	Fads2
mmu00592	alpha-Linolenic acid metabolism	0.0871138141669604	-2.44053980647151	24	1	0.04	25	6607	56473	Fads2
ko00650	Butanoate metabolism	0.0905806461046911	-2.40151470790654	25	1	0.04	25	6607	110460	Acat2
mmu00650	Butanoate metabolism	0.0905806461046911	-2.40151470790654	25	1	0.04	25	6607	110460	Acat2
mmu00640	Propanoate metabolism	0.0940348369056917	-2.36408995998965	26	1	0.04	25	6607	110460	Acat2
ko00640	Propanoate metabolism	0.0940348369056917	-2.36408995998965	26	1	0.04	25	6607	110460	Acat2
ko00230	Purine metabolism	0.110655409232653	-2.20133432770931	151	2	0.08	25	6607	238871,104110	Pde4d,Adcy4
mmu00230	Purine metabolism	0.110655409232653	-2.20133432770931	151	2	0.08	25	6607	238871,104110	Pde4d,Adcy4
mmu00020	Citrate cycle (TCA cycle)	0.111117714971486	-2.19716514435902	31	1	0.04	25	6607	269951	Idh2
ko00020	Citrate cycle (TCA cycle)	0.111117714971486	-2.19716514435902	31	1	0.04	25	6607	269951	Idh2
ko04975	Fat digestion and absorption	0.134515052254387	-2.00607917352998	38	1	0.04	25	6607	110460	Acat2
mmu04975	Fat digestion and absorption	0.134515052254387	-2.00607917352998	38	1	0.04	25	6607	110460	Acat2
mmu00620	Pyruvate metabolism	0.137808875317184	-1.98188751524018	39	1	0.04	25	6607	110460	Acat2
ko00620	Pyruvate metabolism	0.137808875317184	-1.98188751524018	39	1	0.04	25	6607	110460	Acat2
ko00380	Tryptophan metabolism	0.14436045591121	-1.93544194105785	41	1	0.04	25	6607	110460	Acat2
mmu00380	Tryptophan metabolism	0.14436045591121	-1.93544194105785	41	1	0.04	25	6607	110460	Acat2
ko04510	Focal adhesion	0.144851941871171	-1.93204314877331	178	2	0.08	25	6607	16773,12834	Lama2,Col6a2
mmu04510	Focal adhesion	0.144851941871171	-1.93204314877331	178	2	0.08	25	6607	16773,12834	Lama2,Col6a2
ko00280	Valine, leucine and isoleucine degradation	0.157320530368797	-1.84946996015039	45	1	0.04	25	6607	110460	Acat2
mmu00280	Valine, leucine and isoleucine degradation	0.157320530368797	-1.84946996015039	45	1	0.04	25	6607	110460	Acat2
ko00310	Lysine degradation	0.160530982473258	-1.82926831782479	46	1	0.04	25	6607	110460	Acat2
mmu00310	Lysine degradation	0.160530982473258	-1.82926831782479	46	1	0.04	25	6607	110460	Acat2
mmu00480	Glutathione metabolism	0.170092040765718	-1.77141557217585	49	1	0.04	25	6607	269951	Idh2
ko00480	Glutathione metabolism	0.170092040765718	-1.77141557217585	49	1	0.04	25	6607	269951	Idh2
mmu04913	Ovarian steroidogenesis	0.182677617929753	-1.70003233032911	53	1	0.04	25	6607	104110	Adcy4
ko04913	Ovarian steroidogenesis	0.182677617929753	-1.70003233032911	53	1	0.04	25	6607	104110	Adcy4
mmu05210	Colorectal cancer	0.201213027424464	-1.60339109422212	59	1	0.04	25	6607	11799	Birc5
ko05210	Colorectal cancer	0.201213027424464	-1.60339109422212	59	1	0.04	25	6607	11799	Birc5
mmu04742	Taste transduction	0.201213027424464	-1.60339109422212	59	1	0.04	25	6607	104110	Adcy4
ko04742	Taste transduction	0.201213027424464	-1.60339109422212	59	1	0.04	25	6607	104110	Adcy4
ko04976	Bile secretion	0.207301320607557	-1.57358188904667	61	1	0.04	25	6607	104110	Adcy4
mmu04976	Bile secretion	0.207301320607557	-1.57358188904667	61	1	0.04	25	6607	104110	Adcy4
ko04920	Adipocytokine signaling pathway	0.216350304579345	-1.53085640450385	64	1	0.04	25	6607	74205	Acsl3
mmu04920	Adipocytokine signaling pathway	0.216350304579345	-1.53085640450385	64	1	0.04	25	6607	74205	Acsl3
mmu04918	Thyroid hormone synthesis	0.219344533891622	-1.5171115712536	65	1	0.04	25	6607	104110	Adcy4
ko04918	Thyroid hormone synthesis	0.219344533891622	-1.5171115712536	65	1	0.04	25	6607	104110	Adcy4
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.222327778562507	-1.50360250602346	66	1	0.04	25	6607	16773	Lama2
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.222327778562507	-1.50360250602346	66	1	0.04	25	6607	16773	Lama2
ko04971	Gastric acid secretion	0.22826146836803	-1.47726351600245	68	1	0.04	25	6607	104110	Adcy4
mmu04971	Gastric acid secretion	0.22826146836803	-1.47726351600245	68	1	0.04	25	6607	104110	Adcy4
mmu05416	Viral myocarditis	0.231211990355504	-1.46442028212943	69	1	0.04	25	6607	16773	Lama2
ko04970	Salivary secretion	0.234151681431388	-1.45178616237735	70	1	0.04	25	6607	104110	Adcy4
mmu04970	Salivary secretion	0.234151681431388	-1.45178616237735	70	1	0.04	25	6607	104110	Adcy4
mmu01230	Biosynthesis of amino acids	0.237080579696603	-1.43935519691363	71	1	0.04	25	6607	269951	Idh2
ko01230	Biosynthesis of amino acids	0.237080579696603	-1.43935519691363	71	1	0.04	25	6607	269951	Idh2
mmu05222	Small cell lung cancer	0.24868900235577	-1.39155214967418	75	1	0.04	25	6607	16773	Lama2
ko05410	Hypertrophic cardiomyopathy (HCM)	0.24868900235577	-1.39155214967418	75	1	0.04	25	6607	16773	Lama2
ko05222	Small cell lung cancer	0.24868900235577	-1.39155214967418	75	1	0.04	25	6607	16773	Lama2
mmu05410	Hypertrophic cardiomyopathy (HCM)	0.24868900235577	-1.39155214967418	75	1	0.04	25	6607	16773	Lama2
ko04974	Protein digestion and absorption	0.251564503723482	-1.380055846289	76	1	0.04	25	6607	12834	Col6a2
mmu04974	Protein digestion and absorption	0.251564503723482	-1.380055846289	76	1	0.04	25	6607	12834	Col6a2
ko05166	HTLV-I infection	0.253808331917812	-1.37117589556532	257	2	0.08	25	6607	104110,110196	Adcy4,Fdps
mmu05166	HTLV-I infection	0.253808331917812	-1.37117589556532	257	2	0.08	25	6607	104110,110196	Adcy4,Fdps
ko04912	GnRH signaling pathway	0.254429438256937	-1.36873173779202	77	1	0.04	25	6607	104110	Adcy4
mmu04912	GnRH signaling pathway	0.254429438256937	-1.36873173779202	77	1	0.04	25	6607	104110	Adcy4
mmu04914	Progesterone-mediated oocyte maturation	0.260127755539467	-1.34658240118858	79	1	0.04	25	6607	104110	Adcy4
ko04914	Progesterone-mediated oocyte maturation	0.260127755539467	-1.34658240118858	79	1	0.04	25	6607	104110	Adcy4
mmu00590	Arachidonic acid metabolism	0.260127755539467	-1.34658240118858	79	1	0.04	25	6607	19223	Ptgis
mmu04540	Gap junction	0.260127755539467	-1.34658240118858	79	1	0.04	25	6607	104110	Adcy4
ko00590	Arachidonic acid metabolism	0.260127755539467	-1.34658240118858	79	1	0.04	25	6607	19223	Ptgis
ko04540	Gap junction	0.260127755539467	-1.34658240118858	79	1	0.04	25	6607	104110	Adcy4
mmu04911	Insulin secretion	0.260127755539467	-1.34658240118858	79	1	0.04	25	6607	104110	Adcy4
ko04727	GABAergic synapse	0.262961212358059	-1.33574873920913	80	1	0.04	25	6607	104110	Adcy4
mmu04727	GABAergic synapse	0.262961212358059	-1.33574873920913	80	1	0.04	25	6607	104110	Adcy4
mmu04713	Circadian entrainment	0.290728769148341	-1.23536451123546	90	1	0.04	25	6607	104110	Adcy4
ko04713	Circadian entrainment	0.290728769148341	-1.23536451123546	90	1	0.04	25	6607	104110	Adcy4
ko04916	Melanogenesis	0.296160448008502	-1.21685391743355	92	1	0.04	25	6607	104110	Adcy4
mmu04916	Melanogenesis	0.296160448008502	-1.21685391743355	92	1	0.04	25	6607	104110	Adcy4
mmu05200	Pathways in cancer	0.303624003274068	-1.19196517441836	292	2	0.08	25	6607	16773,11799	Lama2,Birc5
ko04724	Glutamatergic synapse	0.306904252941451	-1.18121945970906	96	1	0.04	25	6607	104110	Adcy4
ko04972	Pancreatic secretion	0.306904252941451	-1.18121945970906	96	1	0.04	25	6607	104110	Adcy4
ko04723	Retrograde endocannabinoid signaling	0.306904252941451	-1.18121945970906	96	1	0.04	25	6607	104110	Adcy4
mmu04724	Glutamatergic synapse	0.306904252941451	-1.18121945970906	96	1	0.04	25	6607	104110	Adcy4
mmu04723	Retrograde endocannabinoid signaling	0.306904252941451	-1.18121945970906	96	1	0.04	25	6607	104110	Adcy4
mmu04972	Pancreatic secretion	0.306904252941451	-1.18121945970906	96	1	0.04	25	6607	104110	Adcy4
mmu04114	Oocyte meiosis	0.32272527401482	-1.13095386252374	102	1	0.04	25	6607	104110	Adcy4
ko04114	Oocyte meiosis	0.32272527401482	-1.13095386252374	102	1	0.04	25	6607	104110	Adcy4
ko05145	Toxoplasmosis	0.327921470340071	-1.11498111895837	104	1	0.04	25	6607	16773	Lama2
mmu05145	Toxoplasmosis	0.327921470340071	-1.11498111895837	104	1	0.04	25	6607	16773	Lama2
mmu04725	Cholinergic synapse	0.333079383233194	-1.09937442932395	106	1	0.04	25	6607	104110	Adcy4
mmu04151	PI3K-Akt signaling pathway	0.336206519692326	-1.09002966589248	315	2	0.08	25	6607	16773,12834	Lama2,Col6a2
ko04151	PI3K-Akt signaling pathway	0.336206519692326	-1.09002966589248	315	2	0.08	25	6607	16773,12834	Lama2,Col6a2
ko05146	Amoebiasis	0.338199283084983	-1.08411996231593	108	1	0.04	25	6607	16773	Lama2
mmu05146	Amoebiasis	0.338199283084983	-1.08411996231593	108	1	0.04	25	6607	16773	Lama2
mmu04270	Vascular smooth muscle contraction	0.343281438457619	-1.06920464797434	110	1	0.04	25	6607	104110	Adcy4
mmu04750	Inflammatory mediator regulation of TRP channels	0.343281438457619	-1.06920464797434	110	1	0.04	25	6607	104110	Adcy4
ko04270	Vascular smooth muscle contraction	0.343281438457619	-1.06920464797434	110	1	0.04	25	6607	104110	Adcy4
ko04750	Inflammatory mediator regulation of TRP channels	0.343281438457619	-1.06920464797434	110	1	0.04	25	6607	104110	Adcy4
ko03010	Ribosome	0.348326116087154	-1.05461612283301	112	1	0.04	25	6607	94062	Mrpl3
mmu03010	Ribosome	0.348326116087154	-1.05461612283301	112	1	0.04	25	6607	94062	Mrpl3
mmu04611	Platelet activation	0.365691159558904	-1.00596612814442	119	1	0.04	25	6607	104110	Adcy4
mmu05161	Hepatitis B	0.403730385282295	-0.907007986969545	135	1	0.04	25	6607	11799	Birc5
ko04261	Adrenergic signaling in cardiomyocytes	0.406033651711675	-0.90131923682591	136	1	0.04	25	6607	104110	Adcy4
mmu04261	Adrenergic signaling in cardiomyocytes	0.406033651711675	-0.90131923682591	136	1	0.04	25	6607	104110	Adcy4
mmu04390	Hippo signaling pathway	0.415161595800842	-0.879087447071158	140	1	0.04	25	6607	11799	Birc5
ko04390	Hippo signaling pathway	0.415161595800842	-0.879087447071158	140	1	0.04	25	6607	11799	Birc5
ko04921	Oxytocin signaling pathway	0.417422452478777	-0.873656494509317	141	1	0.04	25	6607	104110	Adcy4
mmu04921	Oxytocin signaling pathway	0.417422452478777	-0.873656494509317	141	1	0.04	25	6607	104110	Adcy4
mmu04022	cGMP-PKG signaling pathway	0.443906648153892	-0.812140990561591	153	1	0.04	25	6607	104110	Adcy4
ko04022	cGMP-PKG signaling pathway	0.443906648153892	-0.812140990561591	153	1	0.04	25	6607	104110	Adcy4
ko04020	Calcium signaling pathway	0.463007207141339	-0.770012658837056	162	1	0.04	25	6607	104110	Adcy4
mmu04020	Calcium signaling pathway	0.463007207141339	-0.770012658837056	162	1	0.04	25	6607	104110	Adcy4
mmu05164	Influenza A	0.465090189266477	-0.765523936789921	163	1	0.04	25	6607	110196	Fdps
ko05164	Influenza A	0.465090189266477	-0.765523936789921	163	1	0.04	25	6607	110196	Fdps
mmu04062	Chemokine signaling pathway	0.473344815767946	-0.747931158684502	167	1	0.04	25	6607	104110	Adcy4
ko04062	Chemokine signaling pathway	0.473344815767946	-0.747931158684502	167	1	0.04	25	6607	104110	Adcy4
ko04015	Rap1 signaling pathway	0.536933556099627	-0.621880923786715	200	1	0.04	25	6607	104110	Adcy4
mmu04015	Rap1 signaling pathway	0.536933556099627	-0.621880923786715	200	1	0.04	25	6607	104110	Adcy4
mmu04066	HIF-1 signaling pathway	0.999999999977648	-2.23519216034517e-11	101	0	0	25	6607
mmu00360	Phenylalanine metabolism	0.999999999978001	-2.1999395472701e-11	20	0	0	25	6607
mmu00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0.999999999978001	-2.1999395472701e-11	20	0	0	25	6607
ko00360	Phenylalanine metabolism	0.999999999978001	-2.1999395472701e-11	20	0	0	25	6607
ko00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0.999999999978001	-2.1999395472701e-11	20	0	0	25	6607
mmu_M00396	Lsm 2-8 complex	0.999999999981744	-1.8255697822739e-11	7	0	0	25	6607
M00406	TREX complex	0.999999999981744	-1.8255697822739e-11	7	0	0	25	6607
M00413	FA core complex	0.999999999981744	-1.8255697822739e-11	7	0	0	25	6607
M00397	Lsm 1-7 complex	0.999999999981744	-1.8255697822739e-11	7	0	0	25	6607
mmu_M00413	FA core complex	0.999999999981744	-1.8255697822739e-11	7	0	0	25	6607
M00396	Lsm 2-8 complex	0.999999999981744	-1.8255697822739e-11	7	0	0	25	6607
mmu_M00397	Lsm 1-7 complex	0.999999999981744	-1.8255697822739e-11	7	0	0	25	6607
mmu_M00406	TREX complex	0.999999999981744	-1.8255697822739e-11	7	0	0	25	6607
mmu05132	Salmonella infection	0.999999999982434	-1.75662299494242e-11	69	0	0	25	6607
ko04260	Cardiac muscle contraction	0.999999999982434	-1.75662299494242e-11	69	0	0	25	6607
mmu04917	Prolactin signaling pathway	0.999999999982434	-1.75662299494242e-11	69	0	0	25	6607
mmu_M00177	Ribosome, eukaryotes	0.999999999982434	-1.75662299494242e-11	69	0	0	25	6607
ko05132	Salmonella infection	0.999999999982434	-1.75662299494242e-11	69	0	0	25	6607
mmu04260	Cardiac muscle contraction	0.999999999982434	-1.75662299494242e-11	69	0	0	25	6607
ko04917	Prolactin signaling pathway	0.999999999982434	-1.75662299494242e-11	69	0	0	25	6607
M00177	Ribosome, eukaryotes	0.999999999982434	-1.75662299494242e-11	69	0	0	25	6607
ko04668	TNF signaling pathway	0.999999999983175	-1.68252775650906e-11	103	0	0	25	6607
mmu04668	TNF signaling pathway	0.999999999983175	-1.68252775650906e-11	103	0	0	25	6607
mmu04530	Tight junction	0.999999999983579	-1.64209518312391e-11	116	0	0	25	6607
ko04530	Tight junction	0.999999999983579	-1.64209518312391e-11	116	0	0	25	6607
M00426	Survival motor neuron (SMN) complex	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
mmu_M00361	Nucleotide sugar biosynthesis, eukaryotes	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
M00065	GPI-anchor biosynthesis, core oligosaccharide	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
mmu_M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
mmu_M00426	Survival motor neuron (SMN) complex	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
M00409	ESCRT-I complex	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
mmu_M00409	ESCRT-I complex	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
mmu_M00065	GPI-anchor biosynthesis, core oligosaccharide	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
M00361	Nucleotide sugar biosynthesis, eukaryotes	0.999999999983632	-1.63675268506188e-11	8	0	0	25	6607
ko04520	Adherens junction	0.999999999984399	-1.56009073625361e-11	66	0	0	25	6607
mmu04520	Adherens junction	0.999999999984399	-1.56009073625361e-11	66	0	0	25	6607
ko04620	Toll-like receptor signaling pathway	0.999999999985721	-1.42790368488347e-11	96	0	0	25	6607
mmu04620	Toll-like receptor signaling pathway	0.999999999985721	-1.42790368488347e-11	96	0	0	25	6607
ko00514	Other types of O-glycan biosynthesis	0.999999999986445	-1.35550947593219e-11	30	0	0	25	6607
mmu_M00355	Spliceosome, 35S U5-snRNP	0.999999999986445	-1.35550947593219e-11	30	0	0	25	6607
ko00040	Pentose and glucuronate interconversions	0.999999999986445	-1.35550947593219e-11	30	0	0	25	6607
mmu00040	Pentose and glucuronate interconversions	0.999999999986445	-1.35550947593219e-11	30	0	0	25	6607
mmu00514	Other types of O-glycan biosynthesis	0.999999999986445	-1.35550947593219e-11	30	0	0	25	6607
M00355	Spliceosome, 35S U5-snRNP	0.999999999986445	-1.35550947593219e-11	30	0	0	25	6607
mmu05220	Chronic myeloid leukemia	0.999999999986847	-1.31527779159283e-11	65	0	0	25	6607
ko05220	Chronic myeloid leukemia	0.999999999986847	-1.31527779159283e-11	65	0	0	25	6607
ko04662	B cell receptor signaling pathway	0.999999999986847	-1.31527779159283e-11	65	0	0	25	6607
mmu04662	B cell receptor signaling pathway	0.999999999986847	-1.31527779159283e-11	65	0	0	25	6607
mmu05330	Allograft rejection	0.999999999987124	-1.28758302589606e-11	47	0	0	25	6607
mmu05332	Graft-versus-host disease	0.999999999987124	-1.28758302589606e-11	47	0	0	25	6607
ko05332	Graft-versus-host disease	0.999999999987124	-1.28758302589606e-11	47	0	0	25	6607
ko05330	Allograft rejection	0.999999999987124	-1.28758302589606e-11	47	0	0	25	6607
ko04930	Type II diabetes mellitus	0.999999999987192	-1.28084286292273e-11	46	0	0	25	6607
mmu04930	Type II diabetes mellitus	0.999999999987192	-1.28084286292273e-11	46	0	0	25	6607
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
mmu_M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
ko00472	D-Arginine and D-ornithine metabolism	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
mmu00472	D-Arginine and D-ornithine metabolism	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
M00083	Fatty acid biosynthesis, elongation	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
M00293	DNA polymerase zeta  complex	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
mmu_M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
mmu_M00083	Fatty acid biosynthesis, elongation	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
mmu_M00293	DNA polymerase zeta  complex	0.999999999988552	-1.14480634173797e-11	1	0	0	25	6607
mmu05323	Rheumatoid arthritis	0.999999999988724	-1.12764592953209e-11	79	0	0	25	6607
ko05323	Rheumatoid arthritis	0.999999999988724	-1.12764592953209e-11	79	0	0	25	6607
ko04612	Antigen processing and presentation	0.999999999988825	-1.11753829326888e-11	72	0	0	25	6607
mmu04612	Antigen processing and presentation	0.999999999988825	-1.11753829326888e-11	72	0	0	25	6607
ko05211	Renal cell carcinoma	0.999999999988828	-1.11722273949042e-11	61	0	0	25	6607
ko05212	Pancreatic cancer	0.999999999988828	-1.11722273949042e-11	61	0	0	25	6607
mmu05211	Renal cell carcinoma	0.999999999988828	-1.11722273949042e-11	61	0	0	25	6607
mmu05140	Leishmaniasis	0.999999999988828	-1.11722273949042e-11	61	0	0	25	6607
ko05140	Leishmaniasis	0.999999999988828	-1.11722273949042e-11	61	0	0	25	6607
mmu04720	Long-term potentiation	0.999999999988828	-1.11722273949042e-11	61	0	0	25	6607
ko04720	Long-term potentiation	0.999999999988828	-1.11722273949042e-11	61	0	0	25	6607
mmu05212	Pancreatic cancer	0.999999999988828	-1.11722273949042e-11	61	0	0	25	6607
ko04728	Dopaminergic synapse	0.999999999988861	-1.11386900787376e-11	119	0	0	25	6607
mmu04728	Dopaminergic synapse	0.999999999988861	-1.11386900787376e-11	119	0	0	25	6607
ko04370	VEGF signaling pathway	0.999999999988894	-1.1106467324922e-11	56	0	0	25	6607
mmu04370	VEGF signaling pathway	0.999999999988894	-1.1106467324922e-11	56	0	0	25	6607
