TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr15 A1|15 5.23 cM	mouse chr15 A1|15 5.23 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	19116	Prlr
mouse chr15 C-D1|15	mouse chr15 C-D1|15	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	320679	Samd12
mouse chr5 G2|5 75.96 cM	mouse chr5 G2|5 75.96 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	13047	Cux1
mouse chr4 D1-D2|4 56.52 cM	mouse chr4 D1-D2|4 56.52 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	29871	Scmh1
mouse chr19 A|19 3.16 cM	mouse chr19 A|19 3.16 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	14419	Gal
mouse chr7|7 D1	mouse chr7|7 D1	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	108116	Slco3a1
mouse chr13 C1|13 41.38 cM	mouse chr13 C1|13 41.38 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	13865	Nr2f1
mouse chr5 A3|5 10.67 cM	mouse chr5 A3|5 10.67 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	52323	Klhl7
mouse chr7 B1|7 18.32 cM	mouse chr7 B1|7 18.32 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	11803	Aplp1
mouse chr2 F1-F3|2 60.37 cM	mouse chr2 F1-F3|2 60.37 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	12716	Ckmt1
mouse chr14|14 E3	mouse chr14|14 E3	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	75409	Slitrk5
mouse chr16 C4|16 53.6 cM	mouse chr16 C4|16 53.6 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	54720	Rcan1
mouse chr1|1 B	mouse chr1|1 B	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	53945	Slc40a1
mouse chr7 F5|7 88.92 cM	mouse chr7 F5|7 88.92 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	12443	Ccnd1
mouse chr17 A3.3|17 15.94 cM	mouse chr17 A3.3|17 15.94 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	22092	Rsph1
mouse chr19 B|19 13.95 cM	mouse chr19 B|19 13.95 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	26358	Aldh1a7
mouse chr1 H2.2|1 71.42 cM	mouse chr1 H2.2|1 71.42 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	20344	Selp
mouse chr2 H3|2 85.53 cM	mouse chr2 H3|2 85.53 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	228875	Slc35c2
mouse chr7 F4|7 82.07 cM	mouse chr7 F4|7 82.07 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	17314	Mgmt
mouse chr5 B3|5 21.14 cM	mouse chr5 B3|5 21.14 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	15476	Hs3st1
mouse chr19 B|19 13.91 cM	mouse chr19 B|19 13.91 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	11668	Aldh1a1
mouse chr2 E3|2 56.63 cM	mouse chr2 E3|2 56.63 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	12064	Bdnf
mouse chr3 B|3 17.46 cM	mouse chr3 B|3 17.46 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	11747	Anxa5
mouse chr6 F1|6 53.79 cM	mouse chr6 F1|6 53.79 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	11689	Alox5
mouse chr16 C3.3-C4|16 55.05 cM	mouse chr16 C3.3-C4|16 55.05 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	20465	Sim2
mouse chr14 D3|14 38.73 cM	mouse chr14 D3|14 38.73 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	19645	Rb1
mouse chr5 E5|5 50.45 cM	mouse chr5 E5|5 50.45 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	246293	Klhl8
mouse chr15 E1|15 37.74 cM	mouse chr15 E1|15 37.74 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	16520	Kcnj4
mouse chr3 D|3 28.15 cM	mouse chr3 D|3 28.15 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	18645	Pfn2
mouse chr7 E3|7 55.97 cM	mouse chr7 E3|7 55.97 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	12751	Tpp1
mouse chr4 E1|4 82.9 cM	mouse chr4 E1|4 82.9 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	56226	Espn
mouse chr15 B3.1|15	mouse chr15 B3.1|15	0.0129976499677121	-4.34298670957623	19	2	0.0125786163522013	159	17270	114128,382985	Laptm4b,Rrm2b
mouse chr3 F1-F2|3 39.24 cM	mouse chr3 F1-F2|3 39.24 cM	0.0183291982913873	-3.9992599556	2	1	0.00628930817610063	159	17270	20196	S100a13
mouse chr4 E2|4 86.17 cM	mouse chr4 E2|4 86.17 cM	0.0183291982913873	-3.9992599556	2	1	0.00628930817610063	159	17270	18762	Prkcz
mouse chr3 A1|3 2.15 cM	mouse chr3 A1|3 2.15 cM	0.0183291982913873	-3.9992599556	2	1	0.00628930817610063	159	17270	20257	Stmn2
mouse chr11 A1|11 4.75 cM	mouse chr11 A1|11 4.75 cM	0.0183291982913873	-3.9992599556	2	1	0.00628930817610063	159	17270	16009	Igfbp3
mouse chr3|3 H3-H4	mouse chr3|3 H3-H4	0.0183291982913873	-3.9992599556	2	1	0.00628930817610063	159	17270	170757	Eltd1
mouse chr10 A1|10	mouse chr10 A1|10	0.0272246426862235	-3.60363273472221	28	2	0.0125786163522013	159	17270	70097,237253	Sash1,Lrp11
mouse chr14 D2|14 36.32 cM	mouse chr14 D2|14 36.32 cM	0.0273682101895038	-3.59837315121707	3	1	0.00628930817610063	159	17270	13829	Dmtn
mouse chr10 A3|10 9.75 cM	mouse chr10 A3|10 9.75 cM	0.0273682101895038	-3.59837315121707	3	1	0.00628930817610063	159	17270	52906	Ahi1
mouse chr1 C3|1 36.94 cM	mouse chr1 C3|1 36.94 cM	0.0273682101895038	-3.59837315121707	3	1	0.00628930817610063	159	17270	16008	Igfbp2
mouse chr15 A2|15	mouse chr15 A2|15	0.0273682101895038	-3.59837315121707	3	1	0.00628930817610063	159	17270	81799	C1qtnf3
mouse chr6 A1|6 1.99 cM	mouse chr6 A1|6 1.99 cM	0.0273682101895038	-3.59837315121707	3	1	0.00628930817610063	159	17270	330260	Pon2
mouse chr11 B2|11 37.96 cM	mouse chr11 B2|11 37.96 cM	0.0363245114921559	-3.3152625178707	4	1	0.00628930817610063	159	17270	11671	Aldh3a2
mouse chr13 A1|13	mouse chr13 A1|13	0.0369125617529497	-3.29920335895854	33	2	0.0125786163522013	159	17270	26421,18812	Prl2c4,Prl2c3
mouse chr15|15 D1	mouse chr15|15 D1	0.045198854286547	-3.09668354010797	5	1	0.00628930817610063	159	17270	170719	Oxr1
mouse chr13|13 A2-A3	mouse chr13|13 A2-A3	0.045198854286547	-3.09668354010797	5	1	0.00628930817610063	159	17270	97908	Hist1h3g
mouse chr16 C3.3|16	mouse chr16 C3.3|16	0.049992853614411	-2.99587521148091	39	2	0.0125786163522013	159	17270	224419,67374	Map3k7cl,Jam2
mouse chr8 A1.1|8	mouse chr8 A1.1|8	0.0546725570451926	-2.90639339480406	41	2	0.0125786163522013	159	17270	72148,270028	Tdrp,Fam155a
mouse chr15	mouse chr15	0.0611512903363039	-2.79440431590553	538	9	0.0566037735849057	159	17270	19116,114128,16520,320679,15425,81799,382985,106014,29859	Prlr,Laptm4b,Kcnj4,Samd12,Hoxc6,C1qtnf3,Rrm2b,Fam19a5,Sult4a1
mouse chr2|2 C1	mouse chr2|2 C1	0.062704638786608	-2.76931985024248	7	1	0.00628930817610063	159	17270	67874	Rprm
mouse chr6|6 C3	mouse chr6|6 C3	0.0713375509356509	-2.64033242911009	8	1	0.00628930817610063	159	17270	20454	St3gal5
mouse chr9 F1|9	mouse chr9 F1|9	0.0774617853110347	-2.55797055699389	50	2	0.0125786163522013	159	17270	11655,20818	Alas1,Srprb
mouse chr3	mouse chr3	0.0785741649443841	-2.54371232385248	651	10	0.0628930817610063	159	17270	20196,229644,11747,13638,18645,20257,97114,73284,54673,12508	S100a13,Trim45,Anxa5,Efna3,Pfn2,Stmn2,Hist2h3c2,Ddit4l,Sh3glb1,Cd53
mouse chr17|17 D	mouse chr17|17 D	0.0798914455835489	-2.52708649597735	9	1	0.00628930817610063	159	17270	63993	Slc5a7
mouse chr13|13 B2	mouse chr13|13 B2	0.0967650507360964	-2.33546939600715	11	1	0.00628930817610063	159	17270	74257	Tspan17
mouse chr1 E2.1|1	mouse chr1 E2.1|1	0.105086179240717	-2.25297451078605	12	1	0.00628930817610063	159	17270	70750	Kdsr
mouse chr11 D|11	mouse chr11 D|11	0.118361917442128	-2.13400825149578	130	3	0.0188679245283019	159	17270	83395,27419,104601	Sp6,Naglu,Mycbpap
mouse chr1|1 C1	mouse chr1|1 C1	0.1215005851982	-2.10783619976704	14	1	0.00628930817610063	159	17270	74013	Rftn2
mouse chr8 D1|8	mouse chr8 D1|8	0.1215005851982	-2.10783619976704	14	1	0.00628930817610063	159	17270	234593	Ndrg4
mouse chr3 H2|3	mouse chr3 H2|3	0.1215005851982	-2.10783619976704	14	1	0.00628930817610063	159	17270	54673	Sh3glb1
mouse chr7 B2|7	mouse chr7 B2|7	0.137615778972543	-1.98328968729174	16	1	0.00628930817610063	159	17270	78070	Cpt1c
mouse chr7 F1|7	mouse chr7 F1|7	0.137615778972543	-1.98328968729174	16	1	0.00628930817610063	159	17270	50781	Dkk3
mouse chr15 E2|15	mouse chr15 E2|15	0.137615778972543	-1.98328968729174	16	1	0.00628930817610063	159	17270	29859	Sult4a1
mouse chr13 A3.3|13	mouse chr13 A3.3|13	0.137615778972543	-1.98328968729174	16	1	0.00628930817610063	159	17270	109620	Dsp
mouse chr13|13	mouse chr13|13	0.1390735796603	-1.97275213583367	71	2	0.0125786163522013	159	17270	97908,74257	Hist1h3g,Tspan17
mouse chr13 A3.1|13	mouse chr13 A3.1|13	0.1390735796603	-1.97275213583367	71	2	0.0125786163522013	159	17270	100041230,68024	Hist1h4m,Hist1h2bc
mouse chr1 C1.1|1	mouse chr1 C1.1|1	0.145562868998258	-1.9271471963592	17	1	0.00628930817610063	159	17270	98267	Stk17b
mouse chr7 E2|7	mouse chr7 E2|7	0.145562868998258	-1.9271471963592	17	1	0.00628930817610063	159	17270	66273	Aamdc
mouse chr1 A3|1	mouse chr1 A3|1	0.145562868998258	-1.9271471963592	17	1	0.00628930817610063	159	17270	29819	Stau2
mouse chr5 C3.3|5	mouse chr5 C3.3|5	0.145562868998258	-1.9271471963592	17	1	0.00628930817610063	159	17270	100737	Dcun1d4
mouse chr8|8 A3	mouse chr8|8 A3	0.145562868998258	-1.9271471963592	17	1	0.00628930817610063	159	17270	76615	Got1l1
mouse chr2 H3|2	mouse chr2 H3|2	0.148573425921743	-1.90667599228836	74	2	0.0125786163522013	159	17270	26943,11981	Serinc3,Atp9a
mouse chr7 C|7	mouse chr7 C|7	0.161239377097318	-1.82486520394258	19	1	0.00628930817610063	159	17270	233280	Nipa1
mouse chr6 A1|6	mouse chr6 A1|6	0.161239377097318	-1.82486520394258	19	1	0.00628930817610063	159	17270	16543	Mdfic
mouse chr8 C5|8	mouse chr8 C5|8	0.161239377097318	-1.82486520394258	19	1	0.00628930817610063	159	17270	270084	Lpcat2
mouse chr13 D2.2|13	mouse chr13 D2.2|13	0.176630041457066	-1.73369789510346	21	1	0.00628930817610063	159	17270	71690	Esm1
mouse chr9|9 C	mouse chr9|9 C	0.184219804543198	-1.69162564441926	22	1	0.00628930817610063	159	17270	56434	Tspan3
mouse chr4 C6|4	mouse chr4 C6|4	0.199191385933428	-1.61348917807274	24	1	0.00628930817610063	159	17270	72685	Dnajc6
mouse chr12 A1.1|12	mouse chr12 A1.1|12	0.199191385933428	-1.61348917807274	24	1	0.00628930817610063	159	17270	217430	Pqlc3
mouse chr17 B1|17 17.98 cM	mouse chr17 B1|17 17.98 cM	0.213889898346821	-1.54229389006403	26	1	0.00628930817610063	159	17270	80880	Kank3
mouse chr3 G3|3	mouse chr3 G3|3	0.213889898346821	-1.54229389006403	26	1	0.00628930817610063	159	17270	73284	Ddit4l
mouse chr12 D1|12	mouse chr12 D1|12	0.213889898346821	-1.54229389006403	26	1	0.00628930817610063	159	17270	67963	Npc2
mouse chr1	mouse chr1	0.22325033282047	-1.49946156842946	819	10	0.0628930817610063	159	17270	16456,100041596,29819,19737,54610,18788,16008,70750,20344,98267	F11r,Gm9994,Stau2,Rgs5,Tbc1d8,Serpinb2,Igfbp2,Kdsr,Selp,Stk17b
mouse chr8 E2|8	mouse chr8 E2|8	0.228320291400933	-1.47700584897143	28	1	0.00628930817610063	159	17270	234875	Ttc13
mouse chr4 D2.3|4	mouse chr4 D2.3|4	0.228320291400933	-1.47700584897143	28	1	0.00628930817610063	159	17270	269589	Sytl1
mouse chr16 B1|16	mouse chr16 B1|16	0.228320291400933	-1.47700584897143	28	1	0.00628930817610063	159	17270	78408	Fam131a
mouse chr9 F3|9	mouse chr9 F3|9	0.235436465495766	-1.44631418750495	29	1	0.00628930817610063	159	17270	235674	Acaa1b
mouse chr6 C1|6	mouse chr6 C1|6	0.235436465495766	-1.44631418750495	29	1	0.00628930817610063	159	17270	13666	Eif2ak3
mouse chrX A1.1|X	mouse chrX A1.1|X	0.242487425530097	-1.41680542343317	30	1	0.00628930817610063	159	17270	67117	Dynlt3
mouse chr14 D3|14	mouse chr14 D3|14	0.249473765402748	-1.38840151800545	31	1	0.00628930817610063	159	17270	219228	Pcdh17
mouse chr12 F1|12	mouse chr12 F1|12	0.256396073616926	-1.3610318675594	32	1	0.00628930817610063	159	17270	104885	Tmem179
mouse chr15 E3|15	mouse chr15 E3|15	0.263254933357083	-1.3346323879458	33	1	0.00628930817610063	159	17270	106014	Fam19a5
mouse chr7 F4|7	mouse chr7 F4|7	0.270050922546127	-1.3091447357442	34	1	0.00628930817610063	159	17270	26757	Dpysl4
mouse chr9 F4|9	mouse chr9 F4|9	0.270050922546127	-1.3091447357442	34	1	0.00628930817610063	159	17270	215494	Pomgnt2
mouse chr3|3 F2	mouse chr3|3 F2	0.27678461384509	-1.28451564260333	35	1	0.00628930817610063	159	17270	22156	Tuft1
mouse chr3 F2.2|3	mouse chr3 F2.2|3	0.283456574770783	-1.26069634295858	36	1	0.00628930817610063	159	17270	229644	Trim45
mouse chr9 A5.3|9	mouse chr9 A5.3|9	0.290067367640086	-1.2376420807724	37	1	0.00628930817610063	159	17270	235379	Gldn
mouse chr3 F2.1|3	mouse chr3 F2.1|3	0.296617549791162	-1.21531168113275	38	1	0.00628930817610063	159	17270	97114	Hist2h3c2
mouse chr16	mouse chr16	0.308604386105751	-1.17569512623849	497	6	0.0377358490566038	159	17270	109857,20465,224419,54720,78408,67374	Cbr3,Sim2,Map3k7cl,Rcan1,Fam131a,Jam2
mouse chr1|1	mouse chr1|1	0.3098167258274	-1.17177436334311	122	2	0.0125786163522013	159	17270	74013,53945	Rftn2,Slc40a1
mouse chr7	mouse chr7	0.324715989594722	-1.12480435687661	1417	15	0.0943396226415094	159	17270	74558,233571,72284,17314,66273,232984,26757,11803,12751,233280,78070,333182,17258,50781,12443	Gvin1,P2ry6,Oraov1,Mgmt,Aamdc,B3gnt8,Dpysl4,Aplp1,Tpp1,Nipa1,Cpt1c,Cox6b2,Mef2a,Dkk3,Ccnd1
mouse chr9 A4|9	mouse chr9 A4|9	0.328478452674038	-1.1132840362863	43	1	0.00628930817610063	159	17270	83964	Jam3
mouse chr4 B1|4	mouse chr4 B1|4	0.346902247301793	-1.05871224678645	46	1	0.00628930817610063	159	17270	100121	Tdrd7
mouse chr8 A2|8	mouse chr8 A2|8	0.35293119194698	-1.04148216471187	47	1	0.00628930817610063	159	17270	64933	Ap3m2
mouse chr11 E1|11	mouse chr11 E1|11	0.364823660835826	-1.00834116313793	49	1	0.00628930817610063	159	17270	544817	Arhgap27
mouse chr1 B|1	mouse chr1 B|1	0.382256307908277	-0.961663932259999	52	1	0.00628930817610063	159	17270	54610	Tbc1d8
mouse chr14 C1|14	mouse chr14 C1|14	0.387960875611304	-0.9468507804965	53	1	0.00628930817610063	159	17270	67419	3632451O06Rik
mouse chr3|3	mouse chr3|3	0.405990082372006	-0.901426547333922	151	2	0.0125786163522013	159	17270	170757,22156	Eltd1,Tuft1
mouse chr7 F5|7	mouse chr7 F5|7	0.426453464753403	-0.852252027608441	60	1	0.00628930817610063	159	17270	72284	Oraov1
mouse chr2 H1|2	mouse chr2 H1|2	0.437002594609117	-0.827816146583539	62	1	0.00628930817610063	159	17270	252864	Dusp15
mouse chr1 D|1	mouse chr1 D|1	0.44220462782287	-0.815982545161564	63	1	0.00628930817610063	159	17270	100041596	Gm9994
mouse chr14|14	mouse chr14|14	0.447358894363145	-0.80439411084988	64	1	0.00628930817610063	159	17270	75409	Slitrk5
mouse chr11 C|11	mouse chr11 C|11	0.452465830072457	-0.793043032345484	65	1	0.00628930817610063	159	17270	217066	Gm15698
mouse chr18 B3|18	mouse chr18 B3|18	0.4675069517808	-0.760341060244597	68	1	0.00628930817610063	159	17270	93874	Pcdhb3
mouse chr4 E2|4	mouse chr4 E2|4	0.486924908073546	-0.719645360655951	72	1	0.00628930817610063	159	17270	67830	Rer1
mouse chr14	mouse chr14	0.554701963939098	-0.589324311384403	538	5	0.0314465408805031	159	17270	13829,19645,219228,67419,20618	Dmtn,Rb1,Pcdh17,3632451O06Rik,Sncg
mouse chr12	mouse chr12	0.556150009377311	-0.58671722008298	427	4	0.0251572327044025	159	17270	104885,217430,76820,67963	Tmem179,Pqlc3,Fam49a,Npc2
mouse chr5	mouse chr5	0.561916582207334	-0.576401870341365	877	8	0.050314465408805	159	17270	68666,15476,12293,13047,100737,246293,14400,52323	Svop,Hs3st1,Cacna2d1,Cux1,Dcun1d4,Klhl8,Gabrb1,Klhl7
mouse chr17|17	mouse chr17|17	0.581802016313921	-0.541625067279188	94	1	0.00628930817610063	159	17270	63993	Slc5a7
mouse chr6|6	mouse chr6|6	0.604502088376196	-0.503350154216638	100	1	0.00628930817610063	159	17270	20454	St3gal5
mouse chr7 E3|7	mouse chr7 E3|7	0.623340596157193	-0.472662206280414	228	2	0.0125786163522013	159	17270	74558,233571	Gvin1,P2ry6
mouse chr11	mouse chr11	0.625640175848792	-0.468979872105884	1268	11	0.0691823899371069	159	17270	15413,27419,11671,67880,83395,217066,15415,16009,15414,104601,544817	Hoxb5,Naglu,Aldh3a2,Dcxr,Sp6,Gm15698,Hoxb7,Igfbp3,Hoxb6,Mycbpap,Arhgap27
mouse chr2 B|2	mouse chr2 B|2	0.632874992579813	-0.457482360416633	108	1	0.00628930817610063	159	17270	69601	Dab2ip
mouse chr15|15	mouse chr15|15	0.659224316245949	-0.416691413558178	116	1	0.00628930817610063	159	17270	170719	Oxr1
mouse chr8	mouse chr8	0.660635964425322	-0.414552325446627	724	6	0.0377358490566038	159	17270	72148,270028,234593,270084,64933,234875	Tdrp,Fam155a,Ndrg4,Lpcat2,Ap3m2,Ttc13
mouse chr8|8	mouse chr8|8	0.662382957542557	-0.411911404589656	117	1	0.00628930817610063	159	17270	76615	Got1l1
mouse chr7 A1|7	mouse chr7 A1|7	0.674729224778929	-0.393443817066841	121	1	0.00628930817610063	159	17270	333182	Cox6b2
mouse chr10 C1|10	mouse chr10 C1|10	0.698091712349026	-0.359404791800895	129	1	0.00628930817610063	159	17270	50493	Txnrd1
mouse chr9	mouse chr9	0.698719714335912	-0.358505598084115	873	7	0.0440251572327044	159	17270	235674,11655,15586,235379,20818,215494,83964	Acaa1b,Alas1,Hyal1,Gldn,Srprb,Pomgnt2,Jam3
mouse chr7 A3|7	mouse chr7 A3|7	0.703666902240728	-0.351450185021222	131	1	0.00628930817610063	159	17270	232984	B3gnt8
mouse chr11 E2|11	mouse chr11 E2|11	0.706416010271418	-0.347550965352088	132	1	0.00628930817610063	159	17270	67880	Dcxr
mouse chr9|9	mouse chr9|9	0.706416010271418	-0.347550965352088	132	1	0.00628930817610063	159	17270	56434	Tspan3
mouse chr2|2	mouse chr2|2	0.727515702452192	-0.3181196960427	140	1	0.00628930817610063	159	17270	67874	Rprm
mouse chr4	mouse chr4	0.739946527227058	-0.301177355898814	911	7	0.0440251572327044	159	17270	67830,18762,269589,29871,56226,72685,100121	Rer1,Prkcz,Sytl1,Scmh1,Espn,Dnajc6,Tdrd7
mouse chr5 F|5	mouse chr5 F|5	0.744737519991128	-0.294723444842172	147	1	0.00628930817610063	159	17270	68666	Svop
mouse chr7|7	mouse chr7|7	0.747107825092446	-0.291545760099342	148	1	0.00628930817610063	159	17270	108116	Slco3a1
mouse chr6	mouse chr6	0.811126757348992	-0.209330939485602	862	6	0.0377358490566038	159	17270	15399,11689,15402,13666,330260,16543	Hoxa2,Alox5,Hoxa5,Eif2ak3,Pon2,Mdfic
mouse chr19	mouse chr19	0.87087315261877	-0.138258946927321	531	3	0.0188679245283019	159	17270	14419,26358,11668	Gal,Aldh1a7,Aldh1a1
mouse chr10	mouse chr10	0.909971265135775	-0.0943422567436715	733	4	0.0251572327044025	159	17270	50493,70097,237253,52906	Txnrd1,Sash1,Lrp11,Ahi1
mouse chr18	mouse chr18	0.965439077502684	-0.0351722785319871	360	1	0.00628930817610063	159	17270	93874	Pcdhb3
mouse chr2	mouse chr2	0.973692454805026	-0.0266597800209533	1375	7	0.0440251572327044	159	17270	12716,26943,69601,252864,228875,11981,12064	Ckmt1,Serinc3,Dab2ip,Dusp15,Slc35c2,Atp9a,Bdnf
mouse chr17	mouse chr17	0.990830500991015	-0.0092117976350491	716	2	0.0125786163522013	159	17270	22092,80880	Rsph1,Kank3
mouse chrX	mouse chrX	0.99483438970348	-0.00517899818570131	560	1	0.00628930817610063	159	17270	67117	Dynlt3
mouse chr4 C5|4	mouse chr4 C5|4	0.999999999955377	-4.462304247185e-11	12	0	0	159	17270
mouse chr16|16 B1	mouse chr16|16 B1	0.999999999955377	-4.462304247185e-11	12	0	0	159	17270
mouse chrX|X A2	mouse chrX|X A2	0.999999999955377	-4.462304247185e-11	12	0	0	159	17270
mouse chr3 H3|3	mouse chr3 H3|3	0.999999999955377	-4.462304247185e-11	12	0	0	159	17270
mouse chrX F2|X	mouse chrX F2|X	0.999999999955377	-4.462304247185e-11	12	0	0	159	17270
mouse chr4|4 B1	mouse chr4|4 B1	0.999999999955377	-4.462304247185e-11	12	0	0	159	17270
mouse chr18 E2|18	mouse chr18 E2|18	0.999999999955377	-4.462304247185e-11	12	0	0	159	17270
mouse chr2|2 C3	mouse chr2|2 C3	0.999999999955377	-4.462304247185e-11	12	0	0	159	17270
